Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Oscillators_RSI,Oscillators_RSI[1],Oscillators_STOCH.K,Oscillators_STOCH.D,Oscillators_CCI,Oscillators_MACD.macd,Oscillators_MACD.signal,Moving Averages_EMA5,Moving Averages_EMA10,Moving Averages_EMA20,Moving Averages_EMA50,Moving Averages_EMA100,Moving Averages_EMA200,Moving Averages_SMA5,Moving Averages_SMA10,Moving Averages_SMA20,Moving Averages_SMA50,Moving Averages_SMA100,Moving Averages_SMA200,Info_marketCap,Info_trailingPE,Info_dividendYield,Info_fiftyDayAverage,Info_twoHundredDayAverage
2020-12-31 00:00:00-05:00,304.703,306.038,303.622,305.551,21611400,0.0,0.0,0.0,80.55,80.982,94.332,91.401,55.106,4.644,4.671,304.24,302.594,299.255,290.585,278.89,259.065,304.228,302.758,299.694,287.877,280.057,252.222,177154441216,28.883,0.56,505.098,494.439
2021-01-04 00:00:00-05:00,306.885,307.06,297.214,301.236,45305900,0.0,0.0,0.0,67.389,80.55,53.384,79.227,22.293,4.244,4.586,303.239,302.348,299.444,291.003,279.332,259.485,304.179,302.648,299.966,288.376,280.491,252.868,177154441216,28.883,0.56,505.098,494.439
2021-01-05 00:00:00-05:00,300.243,303.992,300.243,303.72,29323400,0.0,0.0,0.0,67.897,67.389,70.759,72.825,29.238,4.081,4.485,303.399,302.597,299.851,291.502,279.815,259.925,304.02,302.878,300.302,288.925,280.886,253.56,177154441216,28.883,0.56,505.098,494.439
2021-01-06 00:00:00-05:00,298.987,303.739,297.993,299.512,52809600,0.0,0.0,0.0,51.647,67.897,33.704,52.616,3.843,3.57,4.302,302.103,302.036,299.819,291.816,280.205,260.319,302.964,302.744,300.343,289.379,281.232,254.23,177154441216,28.883,0.56,505.098,494.439
2021-01-07 00:00:00-05:00,302.181,307.596,302.152,306.758,30394800,0.0,0.0,0.0,60.854,51.647,92.974,65.813,64.856,3.708,4.183,303.655,302.895,300.48,292.402,280.731,260.781,303.355,303.252,300.696,290.061,281.654,254.873,177154441216,28.883,0.56,505.098,494.439
2021-01-08 00:00:00-05:00,309.057,311.053,306.856,310.703,33955800,0.0,0.0,0.0,63.323,60.854,97.72,74.799,105.089,4.088,4.164,306.004,304.314,301.453,293.12,281.324,261.278,304.386,304.307,301.585,290.78,282.084,255.542,177154441216,28.883,0.56,505.098,494.439
2021-01-11 00:00:00-05:00,307.732,308.911,305.56,306.213,32746400,0.0,0.0,0.0,56.85,63.323,68.524,86.406,62.514,3.981,4.128,306.074,304.66,301.906,293.633,281.817,261.725,305.381,304.78,302.191,291.622,282.444,256.142,177154441216,28.883,0.56,505.098,494.439
2021-01-12 00:00:00-05:00,306.252,307.343,303.077,305.726,29266800,0.0,0.0,0.0,56.976,56.85,61.506,75.917,35.578,3.813,4.065,305.958,304.853,302.27,294.107,282.291,262.163,305.782,304.901,302.806,292.363,282.817,256.771,177154441216,28.883,0.56,505.098,494.439
2021-01-13 00:00:00-05:00,305.989,308.589,305.385,307.791,22898400,0.0,0.0,0.0,58.459,56.976,76.425,68.819,52.405,3.803,4.012,306.569,305.387,302.796,294.644,282.796,262.617,307.438,305.201,303.417,293.281,283.174,257.378,177154441216,28.883,0.56,505.098,494.439
2021-01-14 00:00:00-05:00,308.239,309.242,305.667,306.145,23500100,0.0,0.0,0.0,58.255,58.459,64.532,67.488,44.909,3.62,3.934,306.427,305.525,303.115,295.095,283.258,263.05,307.315,305.335,303.788,294.155,283.495,257.985,177154441216,28.883,0.56,505.098,494.439
2021-01-15 00:00:00-05:00,305.93,306.895,302.473,303.72,35118700,0.0,0.0,0.0,52.996,58.255,47.009,62.655,8.219,3.242,3.795,305.525,305.197,303.172,295.433,283.663,263.455,305.919,305.152,303.955,294.89,283.775,258.619,177154441216,28.883,0.56,505.098,494.439
2021-01-19 00:00:00-05:00,306.047,308.657,304.947,308.151,24537000,0.0,0.0,0.0,54.685,52.996,79.029,63.523,47.725,3.263,3.689,306.4,305.734,303.647,295.932,284.148,263.899,306.306,305.844,304.246,295.474,284.078,259.257,177154441216,28.883,0.56,505.098,494.439
2021-01-20 00:00:00-05:00,311.784,316.263,308.248,315.319,30728100,0.0,0.0,0.0,61.527,54.685,95.041,73.693,126.826,3.813,3.714,309.373,307.477,304.758,296.692,284.765,264.411,308.225,307.004,304.941,296.057,284.393,259.944,177154441216,28.883,0.56,505.098,494.439
2021-01-21 00:00:00-05:00,316.663,318.591,315.28,317.841,25130600,0.0,0.0,0.0,63.533,61.527,96.492,90.187,159.704,4.402,3.851,312.196,309.361,306.004,297.521,285.42,264.943,310.235,308.837,305.79,296.686,284.742,260.58,177154441216,28.883,0.56,505.098,494.439
2021-01-22 00:00:00-05:00,316.799,317.939,316.234,316.926,21609400,0.0,0.0,0.0,61.765,63.533,92.21,94.581,138.755,4.741,4.029,313.772,310.736,307.044,298.282,286.044,265.46,312.391,309.853,306.553,297.413,285.067,261.212,177154441216,28.883,0.56,505.098,494.439
2021-01-25 00:00:00-05:00,320.325,321.698,313.02,319.545,39080600,0.0,0.0,0.0,69.624,61.765,90.92,93.207,132.951,5.161,4.256,315.697,312.338,308.235,299.116,286.708,265.998,315.556,310.738,307.522,298.294,285.396,261.836,177154441216,28.883,0.56,505.098,494.439
2021-01-26 00:00:00-05:00,320.266,321.152,318.679,320.013,25498100,0.0,0.0,0.0,68.252,69.624,92.892,92.007,135.013,5.469,4.498,317.135,313.734,309.357,299.936,287.367,266.536,317.929,312.118,308.449,299.06,285.681,262.462,177154441216,28.883,0.56,505.098,494.439
2021-01-27 00:00:00-05:00,317.744,317.754,309.076,311.092,55264000,0.0,0.0,0.0,61.733,68.252,45.74,76.517,47.399,4.936,4.586,315.121,313.253,309.522,300.373,287.837,266.979,317.083,312.654,308.778,299.675,285.848,263.032,177154441216,28.883,0.56,505.098,494.439
2021-01-28 00:00:00-05:00,312.3,317.9,311.676,312.933,42836300,0.0,0.0,0.0,57.026,61.733,54.407,64.347,60.753,4.609,4.59,314.392,313.195,309.847,300.866,288.334,267.436,316.102,313.168,309.185,300.277,286.184,263.569,177154441216,28.883,0.56,505.098,494.439
2021-01-29 00:00:00-05:00,311.238,312.348,304.596,306.349,55259000,0.0,0.0,0.0,45.327,57.026,20.162,40.103,-17.324,3.775,4.427,311.711,311.95,309.514,301.081,288.691,267.823,313.986,313.189,309.262,300.704,286.49,264.084,177154441216,28.883,0.56,505.098,494.439
2021-02-01 00:00:00-05:00,309.806,315.095,307.771,314.004,35646000,0.0,0.0,0.0,57.831,45.327,59.979,44.85,35.079,3.689,4.28,312.475,312.324,309.941,301.588,289.192,268.283,312.878,314.217,309.685,301.301,287.006,264.619,177154441216,28.883,0.56,505.098,494.439
2021-02-02 00:00:00-05:00,316.984,320.286,316.819,319.127,33930800,0.0,0.0,0.0,62.321,57.831,86.626,55.589,100.365,3.989,4.221,314.692,313.561,310.816,302.275,289.785,268.789,312.701,315.315,310.579,302.043,287.496,265.17,177154441216,28.883,0.56,505.098,494.439
2021-02-03 00:00:00-05:00,321.211,321.581,317.802,317.861,24824500,0.0,0.0,0.0,59.397,62.321,80.04,75.549,90.321,4.077,4.192,315.748,314.342,311.487,302.887,290.341,269.277,314.055,315.569,311.286,302.716,288.027,265.727,177154441216,28.883,0.56,505.098,494.439
