Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Oscillators_RSI,Oscillators_RSI[1],Oscillators_STOCH.K,Oscillators_STOCH.D,Oscillators_CCI,Oscillators_MACD.macd,Oscillators_MACD.signal,Moving Averages_EMA5,Moving Averages_EMA10,Moving Averages_EMA20,Moving Averages_EMA50,Moving Averages_EMA100,Moving Averages_EMA200,Moving Averages_SMA5,Moving Averages_SMA10,Moving Averages_SMA20,Moving Averages_SMA50,Moving Averages_SMA100,Moving Averages_SMA200,Info_sector,Info_industry,Info_marketCap,Info_trailingPE,Info_forwardPE,Info_dividendYield,Info_beta,Info_fiftyDayAverage,Info_twoHundredDayAverage
2024-08-20 00:00:00-04:00,173.526,173.526,168.035,170.202,13555500,0.0,0.0,55.756,66.849,91.858,96.569,51.684,1.313,-0.606,170.617,167.969,166.136,164.168,155.873,139.901,171.341,167.455,161.574,169.155,156.332,134.099,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-08-21 00:00:00-04:00,168.54,171.231,168.094,169.608,9434800,0.0,0.0,64.053,55.756,90.425,94.094,45.285,1.403,-0.204,170.281,168.267,166.467,164.382,156.145,140.196,171.632,169.078,162.15,169.23,156.687,134.505,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-08-22 00:00:00-04:00,170.162,171.428,164.286,164.661,13546100,0.0,0.0,68.901,64.053,78.486,86.923,27.844,1.063,0.049,168.408,167.611,166.295,164.393,156.314,140.44,170.144,169.265,162.455,169.255,156.938,134.879,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-08-23 00:00:00-04:00,167.194,171.438,166.126,169.45,12189100,0.0,0.0,74.931,68.901,84.962,84.624,40.003,1.166,0.273,168.755,167.946,166.595,164.591,156.574,140.728,169.499,169.676,162.917,169.232,157.25,135.274,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-08-26 00:00:00-04:00,168.559,169.222,166.027,167.263,9611300,0.0,0.0,66.458,74.931,69.518,77.655,29.349,1.059,0.43,168.258,167.821,166.659,164.696,156.786,140.992,168.237,169.819,163.365,169.156,157.522,135.659,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-08-27 00:00:00-04:00,164.642,168.757,163.276,168.728,9186000,0.0,0.0,68.166,66.458,75.389,76.623,23.134,1.081,0.56,168.414,167.986,166.856,164.854,157.022,141.268,167.942,169.642,164.157,169.117,157.832,136.053,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-08-28 00:00:00-04:00,169.489,170.627,164.424,167.392,10581400,0.0,0.0,56.733,68.166,48.812,64.573,26.403,0.978,0.644,168.074,167.878,166.907,164.953,157.227,141.528,167.499,169.565,164.325,168.958,158.112,136.442,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-08-29 00:00:00-04:00,166.848,173.545,165.72,167.342,13213200,0.0,0.0,53.171,56.733,39.481,54.561,34.586,0.883,0.692,167.83,167.781,166.949,165.047,157.428,141.785,168.035,169.09,164.868,168.75,158.377,136.802,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-08-30 00:00:00-04:00,168.243,170.39,166.947,169.865,9481400,0.0,0.0,55.977,53.171,63.977,50.757,31.43,1.0,0.753,168.508,168.16,167.226,165.236,157.674,142.065,168.118,168.809,165.948,168.677,158.642,137.18,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-09-03 00:00:00-04:00,166.205,166.878,158.092,158.775,18464400,0.0,0.0,35.388,55.977,4.409,35.956,-50.52,0.195,0.642,165.264,166.453,166.421,164.983,157.696,142.231,166.42,167.329,166.568,168.41,158.787,137.491,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-09-04 00:00:00-04:00,157.598,162.129,157.251,159.151,11317400,0.0,0.0,38.2,35.388,11.636,26.674,-75.336,-0.408,0.432,163.226,165.126,165.729,164.754,157.725,142.399,164.505,166.224,166.839,168.273,158.927,137.803,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-09-05 00:00:00-04:00,159.814,162.831,159.329,161.951,10260600,0.0,0.0,36.283,38.2,28.788,14.944,-60.399,-0.652,0.215,162.801,164.548,165.369,164.644,157.808,142.594,163.417,165.458,167.268,168.097,159.141,138.131,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-09-06 00:00:00-04:00,163.128,163.642,154.343,155.144,14964400,0.0,0.0,29.725,36.283,4.167,14.864,-94.037,-1.379,-0.104,160.249,162.839,164.395,164.272,157.756,142.719,160.977,164.506,166.885,167.795,159.311,138.42,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-09-09 00:00:00-04:00,159.042,161.357,158.538,161.041,10339000,0.0,0.0,37.005,29.725,34.879,22.611,-63.271,-1.462,-0.376,160.513,162.512,164.076,164.145,157.821,142.901,159.212,163.665,166.671,167.62,159.542,138.737,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-09-10 00:00:00-04:00,161.149,161.149,156.005,160.694,11910800,0.0,0.0,39.483,37.005,33.076,24.041,-68.866,-1.539,-0.608,160.573,162.181,163.754,164.009,157.878,143.078,159.596,163.008,166.414,167.395,159.778,139.059,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-09-11 00:00:00-04:00,162.05,168.559,159.695,168.411,15059500,0.0,0.0,48.856,39.483,73.261,47.072,-6.964,-0.965,-0.68,163.186,163.314,164.197,164.182,158.086,143.33,161.448,162.977,166.309,167.353,160.158,139.419,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-09-12 00:00:00-04:00,169.4,170.939,167.811,170.224,13415500,0.626,0.0,55.654,48.856,82.703,63.013,35.434,-0.361,-0.616,165.532,164.57,164.771,164.419,158.327,143.598,163.103,163.26,166.413,167.281,160.601,139.792,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-09-13 00:00:00-04:00,171.028,173.541,170.244,171.287,8787800,0.0,0.0,52.02,55.654,88.236,81.4,59.597,0.202,-0.452,167.45,165.791,165.392,164.688,158.583,143.873,166.331,163.654,166.372,167.096,161.034,140.173,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-09-16 00:00:00-04:00,168.715,169.36,165.597,167.891,12194300,0.0,0.0,50.672,52.02,70.552,80.497,18.332,0.37,-0.288,167.597,166.173,165.63,164.814,158.767,144.112,167.701,163.457,166.133,166.813,161.397,140.534,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-09-17 00:00:00-04:00,168.159,169.042,165.19,166.173,8629100,0.0,0.0,47.278,50.672,61.606,73.465,12.902,0.36,-0.158,167.122,166.173,165.682,164.867,158.914,144.332,168.797,164.197,165.763,166.444,161.747,140.882,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-09-18 00:00:00-04:00,167.275,170.393,165.825,166.103,9116000,0.0,0.0,48.589,47.278,61.244,64.467,25.418,0.343,-0.058,166.783,166.16,165.722,164.916,159.056,144.548,168.335,164.892,165.558,166.115,162.061,141.236,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-09-19 00:00:00-04:00,173.153,176.529,171.416,174.98,15855000,0.0,0.0,57.009,48.589,93.018,71.956,120.298,1.033,0.16,169.515,167.764,166.603,165.31,159.372,144.851,169.287,166.195,165.826,165.835,162.447,141.63,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-09-20 00:00:00-04:00,173.64,174.782,172.428,172.855,18429800,0.0,0.0,52.764,57.009,83.441,79.234,99.27,1.393,0.407,170.629,168.69,167.199,165.606,159.639,145.13,169.601,167.966,166.236,165.641,162.81,142.02,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-09-23 00:00:00-04:00,173.61,174.166,172.478,173.531,5794200,0.0,0.0,66.892,52.764,86.484,87.648,96.158,1.713,0.668,171.596,169.57,167.802,165.917,159.914,145.412,170.729,169.215,166.44,165.405,163.191,142.415,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-09-24 00:00:00-04:00,178.237,181.494,175.805,180.69,14576100,0.0,0.0,71.342,66.892,97.038,88.987,157.444,2.515,1.037,174.627,171.592,169.029,166.496,160.325,145.763,173.632,171.214,167.111,165.354,163.667,142.84,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-09-25 00:00:00-04:00,180.243,182.527,179.935,181.067,8280900,0.0,0.0,69.897,71.342,94.821,92.781,156.652,3.145,1.459,176.774,173.315,170.176,167.068,160.736,146.115,176.625,172.48,167.728,165.294,164.134,143.26,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-09-26 00:00:00-04:00,187.174,187.998,182.507,185.516,15103400,0.0,0.0,83.243,69.897,92.241,94.7,174.777,3.958,1.959,179.688,175.533,171.637,167.791,161.227,146.507,178.732,174.009,168.635,165.617,164.593,143.697,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-09-27 00:00:00-04:00,184.533,184.632,176.152,176.718,17908400,0.0,0.0,66.135,83.243,64.742,83.935,100.386,3.847,2.336,178.698,175.748,172.121,168.141,161.533,146.807,179.504,174.552,169.103,165.751,164.952,144.087,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-09-30 00:00:00-04:00,173.044,175.576,170.721,172.448,13540200,0.0,0.0,61.193,66.135,45.06,67.348,35.722,3.376,2.544,176.615,175.148,172.152,168.31,161.75,147.062,179.288,175.008,169.233,165.92,165.285,144.453,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-01 00:00:00-04:00,174.077,174.752,169.579,170.86,11850200,0.0,0.0,52.64,61.193,24.859,44.887,19.022,2.842,2.604,174.696,174.369,172.029,168.41,161.93,147.299,177.322,175.477,169.837,165.986,165.577,144.808,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-02 00:00:00-04:00,171.743,175.725,169.589,174.563,11164400,0.0,0.0,54.495,52.64,41.097,37.005,29.023,2.687,2.621,174.652,174.404,172.27,168.651,162.18,147.571,176.021,176.323,170.607,166.117,165.914,145.173,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-03 00:00:00-04:00,174.563,179.518,173.888,178.217,12555000,0.0,0.0,56.814,54.495,57.118,41.025,62.254,2.826,2.662,175.841,175.097,172.837,169.027,162.498,147.875,174.561,176.647,171.421,166.52,166.225,145.56,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-04 00:00:00-04:00,178.436,179.955,176.301,179.886,9993800,0.0,0.0,62.207,56.814,64.432,54.216,68.701,3.036,2.737,177.189,175.968,173.508,169.452,162.842,148.194,175.195,177.35,172.658,166.946,166.579,145.954,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-07 00:00:00-04:00,180.323,183.699,179.657,183.212,12054200,0.0,0.0,66.791,62.207,78.415,66.655,92.936,3.431,2.875,179.197,177.285,174.432,169.992,163.245,148.542,177.348,178.318,173.766,167.406,166.913,146.36,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-08 00:00:00-04:00,183.659,185.228,180.75,184.741,10394200,0.0,0.0,67.852,66.791,82.318,75.055,93.434,3.824,3.065,181.045,178.641,175.414,170.57,163.671,148.903,180.124,178.723,174.969,167.935,167.226,146.792,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-09 00:00:00-04:00,186.479,186.678,180.978,185.824,11925000,0.0,0.0,62.209,67.852,88.194,82.976,87.509,4.174,3.287,182.638,179.947,176.405,171.169,164.11,149.27,182.376,179.199,175.839,168.594,167.583,147.218,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-10 00:00:00-04:00,184.553,185.764,183.103,184.473,6443800,0.0,0.0,63.314,62.209,80.863,83.792,77.027,4.293,3.488,183.25,180.77,177.174,171.69,164.513,149.62,183.627,179.094,176.552,169.003,167.932,147.634,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-11 00:00:00-04:00,186.846,190.143,186.687,189.468,12163900,0.0,0.0,66.618,63.314,96.717,88.591,105.583,4.736,3.738,185.322,182.351,178.345,172.388,165.007,150.017,185.544,180.369,177.461,169.662,168.312,148.068,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-14 00:00:00-04:00,189.269,192.884,189.16,190.858,11714400,0.0,0.0,62.053,66.618,91.308,89.629,106.956,5.14,4.018,187.168,183.898,179.536,173.112,165.519,150.423,187.073,182.21,178.609,170.514,168.705,148.508,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-15 00:00:00-04:00,191.603,192.258,182.954,185.814,21812700,0.0,0.0,55.066,62.053,69.663,85.896,61.949,4.995,4.214,186.716,184.246,180.134,173.61,165.921,150.775,187.287,183.706,179.591,171.303,169.024,148.923,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-16 00:00:00-04:00,188.445,188.673,185.347,186.161,18689200,0.0,0.0,50.755,55.066,71.155,77.375,50.344,4.853,4.341,186.531,184.594,180.708,174.102,166.322,151.127,187.355,184.865,180.594,171.952,169.336,149.343,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-17 00:00:00-04:00,201.92,211.105,200.549,204.392,62274700,0.0,0.0,76.518,50.755,83.835,74.885,170.964,6.14,4.701,192.485,188.194,182.964,175.29,167.076,151.657,191.339,187.483,182.065,172.972,169.802,149.867,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-18 00:00:00-04:00,204.501,204.501,199.348,199.368,21030800,0.0,0.0,75.427,76.518,71.736,75.575,122.458,6.678,5.097,194.779,190.226,184.526,176.234,167.715,152.132,193.319,189.431,183.39,173.703,170.224,150.372,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-21 00:00:00-04:00,199.397,202.009,198.256,200.529,14820000,0.0,0.0,78.253,75.427,74.528,76.7,102.989,7.116,5.5,196.696,192.099,186.05,177.187,168.365,152.614,195.253,191.163,184.74,174.407,170.707,150.887,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-22 00:00:00-04:00,197.67,198.762,195.723,197.084,11165100,0.0,0.0,71.551,78.253,62.327,69.53,77.014,7.103,5.821,196.825,193.005,187.101,177.967,168.933,153.056,197.507,192.397,185.56,175.032,171.169,151.384,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-23 00:00:00-04:00,195.296,201.701,194.85,199.447,16535700,0.0,0.0,70.83,71.551,66.505,67.786,81.494,7.201,6.097,197.699,194.177,188.277,178.81,169.538,153.518,200.164,193.759,186.479,175.611,171.674,151.879,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-24 00:00:00-04:00,197.56,199.09,196.021,196.538,9935800,0.0,0.0,65.95,70.83,53.679,60.837,70.146,6.963,6.27,197.312,194.606,189.064,179.505,170.072,153.946,198.593,194.966,187.03,176.179,172.111,152.361,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-25 00:00:00-04:00,198.841,203.757,198.593,202.009,13434900,0.0,0.0,67.294,65.95,70.036,63.407,90.152,7.134,6.443,198.878,195.952,190.296,180.387,170.705,154.424,199.121,196.22,188.295,176.777,172.628,152.876,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-28 00:00:00-04:00,197.858,198.335,193.152,193.311,20135300,0.0,0.0,56.965,67.294,40.936,54.884,38.047,6.493,6.453,197.022,195.472,190.584,180.894,171.152,154.811,197.678,196.465,189.338,177.19,172.954,153.345,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-29 00:00:00-04:00,193.023,197.392,192.238,195.555,13779100,0.0,0.0,57.763,56.965,44.762,51.911,30.655,6.095,6.381,196.533,195.487,191.057,181.469,171.636,155.216,197.372,197.439,190.572,177.629,173.311,153.826,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-30 00:00:00-04:00,193.013,194.075,191.255,193.112,10007800,0.0,0.0,56.774,57.763,36.085,40.594,9.383,5.519,6.209,195.393,195.055,191.253,181.926,172.061,155.593,196.105,198.134,191.5,178.088,173.621,154.292,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-10-31 00:00:00-04:00,191.503,191.503,186.34,189.2,13062700,0.0,0.0,49.786,56.774,22.187,34.344,-20.15,4.693,5.906,193.328,193.99,191.057,182.211,172.4,155.928,194.637,196.615,192.049,178.479,173.855,154.733,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-11-01 00:00:00-04:00,192.834,196.776,191.196,191.593,12691200,0.0,0.0,50.577,49.786,30.688,29.653,3.263,4.184,5.561,192.75,193.554,191.108,182.579,172.78,156.283,192.554,195.838,192.634,179.018,174.136,155.136,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
2024-11-04 00:00:00-05:00,192.337,192.993,189.259,190.213,10917300,0.0,0.0,53.664,50.577,18.89,23.921,-16.78,3.626,5.174,191.904,192.947,191.023,182.878,173.126,156.62,191.934,194.806,192.984,179.433,174.333,155.526,Technology,Semiconductors,816259203072,23.144,19.478,1.74,1.307,188.432,185.063
