Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Oscillators_RSI,Oscillators_RSI[1],Oscillators_STOCH.K,Oscillators_STOCH.D,Oscillators_CCI,Oscillators_MACD.macd,Oscillators_MACD.signal,Moving Averages_EMA5,Moving Averages_EMA10,Moving Averages_EMA20,Moving Averages_EMA50,Moving Averages_EMA100,Moving Averages_EMA200,Moving Averages_SMA5,Moving Averages_SMA10,Moving Averages_SMA20,Moving Averages_SMA50,Moving Averages_SMA100,Moving Averages_SMA200,Info_marketCap,Info_trailingPE,Info_dividendYield,Info_fiftyDayAverage,Info_twoHundredDayAverage
2024-05-02 09:30:00-04:00,425.28,425.92,420.63,425.84,21410293,0.0,0.0,0.0,51.339522169256306,53.6091156253945,49.29567283270423,31.40817240939155,-5.589431851597802,-1.796,-2.028,424.935,425.797,426.866,431.323,435.597,438.883,424.3025817871094,427.51329040527344,424.63718872070314,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-02 13:30:00-04:00,425.89,427.81,425.16,426.92,11952316,0.0,0.0,0.0,52.52840867219856,51.339522169256306,56.209996952148735,42.232147276341124,19.933346411435082,-1.588,-1.94,425.597,426.002,426.871,431.15,435.425,438.764,424.123583984375,427.7672912597656,424.81519012451173,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-03 09:30:00-04:00,434.42,436.47,432.74,435.15,30735002,0.0,0.0,0.0,60.468427257756275,52.52840867219856,92.79864543809322,66.10143840764873,107.8221327794272,-0.75,-1.702,428.781,427.665,427.659,431.307,435.42,438.728,426.2415832519531,428.0542907714844,425.74169006347654,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-03 13:30:00-04:00,435.17,436.07,434.64,435.475,14549319,0.0,0.0,0.0,60.64996374397859,60.468427257756275,94.57176297830469,81.19346845618223,112.60891992813413,-0.059,-1.373,431.012,429.085,428.404,431.47,435.421,438.696,428.9670043945313,428.4967926025391,426.78294067382814,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-06 09:30:00-04:00,437.32,438.54,435.48,438.258,16266660,0.0,0.0,0.0,68.76981885784548,60.64996374397859,98.42709265175719,95.26583368938503,132.79998284207306,0.705,-0.958,433.428,430.753,429.342,431.737,435.477,438.691,432.328662109375,429.00462341308594,427.7628112792969,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-06 13:30:00-04:00,438.22,440.34,438.115,440.33,12105663,0.0,0.0,0.0,69.04704463208685,68.76981885784548,99.94921476425897,97.64935679810696,150.11117493218774,1.461,-0.474,435.728,432.494,430.389,432.074,435.573,438.708,435.22666015625,429.7646209716797,428.83681030273436,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-07 09:30:00-04:00,440.72,441.94,439.98,441.74,19514713,0.0,0.0,0.0,63.369037925418866,69.04704463208685,99.06141206359025,99.14590649320213,152.8699043482693,2.149,0.051,437.732,434.175,431.47,432.453,435.695,438.738,438.1906372070313,431.1571105957031,429.6778045654297,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-07 13:30:00-04:00,441.725,441.97,439.58,440.3,9633664,0.0,0.0,0.0,62.9953027166727,63.369037925418866,92.17425625903623,97.06162769562849,127.4785134053147,2.549,0.55,438.588,435.289,432.311,432.76,435.786,438.753,439.22063598632815,432.7311096191406,430.43580322265626,432.19156372070313,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-08 09:30:00-04:00,437.74,441.47,437.56,439.158,14793751,0.0,0.0,0.0,58.63828030808824,62.9953027166727,86.82281067800804,92.68615966687817,98.95365230535093,2.742,0.989,438.778,435.992,432.963,433.011,435.853,438.757,439.9572326660156,434.4621185302734,431.07870330810545,432.1087237548828,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-08 13:30:00-04:00,439.11,440.48,439.05,440.07,8042850,0.0,0.0,0.0,60.466626224682784,58.63828030808824,91.09655940703793,90.03120878136075,91.64191836972545,2.935,1.378,439.209,436.734,433.64,433.288,435.937,438.77,440.3195739746094,436.32411804199216,431.76070404052734,432.0689239501953,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-09 09:30:00-04:00,440.33,441.555,438.46,441.17,15610025,0.0,0.0,0.0,71.36883143010328,60.466626224682784,96.25122806816833,91.39019938440477,85.71979354420374,3.14,1.73,439.863,437.54,434.357,433.597,436.04,438.794,440.4875793457031,437.85711975097655,432.685205078125,431.96572448730467,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-09 13:30:00-04:00,441.18,441.6,440.44,441.03,7993280,0.0,0.0,0.0,79.27082327698888,71.36883143010328,95.59511432653242,94.31430060057956,79.87438418566956,3.254,2.035,440.252,438.175,434.992,433.889,436.139,438.817,440.34559936523436,439.2681182861328,433.51770477294923,432.08152465820314,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-10 09:30:00-04:00,442.56,444.31,440.499,441.38,16894988,0.0,0.0,0.0,87.89439717697769,79.27082327698888,87.62632966727067,93.15755735399047,82.47419967690209,3.334,2.295,440.628,438.758,435.601,434.182,436.243,438.842,440.56158447265625,439.8911102294922,433.97270050048826,432.0647229003906,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-10 13:30:00-04:00,441.39,442.44,440.94,442.06,8828305,0.0,0.0,0.0,89.55269335107505,87.89439717697769,90.49830787193955,91.23991728858088,73.81869689591012,3.413,2.518,441.105,439.358,436.216,434.491,436.358,438.874,441.14198608398436,440.549609375,434.52320098876953,432.09572265625,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-13 09:30:00-04:00,443.99,444.06,441.65,443.04,14915486,0.0,0.0,0.0,87.9794176233231,89.55269335107505,93.36820147026248,90.49761300315755,79.29843079455634,3.514,2.717,441.75,440.027,436.866,434.827,436.49,438.916,441.735986328125,441.0277801513672,435.0162017822266,432.13672302246096,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-13 13:30:00-04:00,443.05,443.23,442.435,443.1,6586529,0.0,0.0,0.0,87.41239397660075,87.9794176233231,89.5419992298075,91.13616952400317,73.3690245586656,3.558,2.886,442.2,440.586,437.46,435.151,436.621,438.957,442.1219848632812,441.3047821044922,435.5347015380859,432.1863232421875,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-14 09:30:00-04:00,442.61,444.97,442.46,443.82,18332830,0.0,0.0,0.0,80.71453437207421,87.41239397660075,88.86742118743962,90.59254062916987,72.3947448345635,3.609,3.03,442.74,441.174,438.065,435.491,436.764,439.006,442.67998657226565,441.51279296875,436.33495178222654,432.25872314453125,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
